,index,C,Mn,Si,Cr,Ni,Mo,V,Co,Al,W,Cu,Nb,Ti,B,N,P,S,Ms (K),Payson_Savage,Andrews_2,Capdevila,pre_1,index_clean,pre_3,predicted_3
251,281,0.545,0.46,0.26,1.16,4.12,0.48,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,473.0,465.98449999999997,485.26965499999994,509.79300000000006,506.70076915132233,0,506.70076915132233,506.6579184607966
252,282,0.14,0.5,0.3,0.38,0.03,0.55,0.27,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.008,0.005,756.0,690.5620000000001,717.3498800000001,699.513,756.3781847296284,0,756.3781847296284,756.2301076525024
253,283,0.32,0.56,0.27,0.74,2.37,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,608.5,583.2489999999999,599.7923199999999,601.6130000000002,588.7483996063443,0,588.7483996063443,585.4829215351255
254,284,0.35,1.51,0.28,0.0,0.0,1.29,0.21,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.015,0.007,617.0,593.4949999999999,603.13975,609.9900000000001,616.8524283882824,0,616.8524283882824,617.6375968349561
255,285,0.16,1.4,0.25,0.2,1.5,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,627.0,640.818,677.221,642.759,673.1267002920806,0,673.1267002920806,679.2047532979946
256,286,0.4,1.42,1.51,0.76,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024,0.02,564.0,557.3089999999999,586.4376,571.6730000000001,563.8867345323436,0,563.8867345323436,563.6868680471828
257,287,0.34,0.8,0.38,0.34,0.0,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.02,631.0,615.404,626.64264,630.172,629.6528334211607,0,629.6528334211607,630.9202149783451
258,288,0.4,0.52,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,566.0,544.5539999999999,539.298,544.248,556.6497279855869,0,556.6497279855869,538.8299016920678
259,289,0.27,1.36,0.5,0.58,0.68,0.34,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,625.0,604.449,635.79634,617.998,625.5875354393489,0,625.5875354393489,624.6456626326849
260,290,1.03,0.49,0.023,0.23,1.75,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,368.15,390.9936999999999,468.26981000000006,406.6735,369.2616540449481,0,369.2616540449481,382.4911794063503
261,291,0.004,0.03,0.075,2.200488998,22.00488998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,363.7055556,340.2964431895999,443.8625740829408,376.11857424979996,390.3869034956751,0,390.3869034956751,334.43299000815796
262,292,0.14,0.45,0.28,1.11,4.11,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,663.5,607.4599999999999,655.8846599999999,626.4770000000001,684.3820077168493,0,684.3820077168493,654.7058624546047
263,293,0.49,0.33,0.31,0.0,0.0,3.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,577.5944444,563.4759999999999,570.37515,609.7570000000001,577.9690348646855,0,577.9690348646855,588.2957107797782
264,295,0.38,0.69,0.2,0.95,1.58,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,589.75,570.825,586.2719,591.139,575.195518399642,0,575.195518399642,574.0573817012054
265,296,0.78,0.33,0.02,1.42,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,481.4833333,469.82799999999986,487.29194,500.6640000000001,458.87518614711945,0,458.87518614711945,473.2268446595556
266,297,0.38,1.44,0.62,0.04,0.0,0.16,0.1,0.0,0.026,0.0,0.14,0.0,0.016,0.0,0.0122,0.0,0.0,597.0,593.982,603.27248,594.604,583.3822465530894,0,583.3822465530894,580.0388246031755
