,index,C,Mn,Si,Cr,Ni,Mo,V,Co,Al,W,Cu,Nb,Ti,B,N,P,S,Ms (K),Payson_Savage,Andrews_2,Capdevila,pre_1,index_clean,pre_3,predicted_3
339,377,0.4,0.57,0.0,0.0,3.49,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,573.0,567.9949999999999,563.2919999999999,567.8080000000001,545.1863366836117,0,545.1863366836117,548.2174905227964
340,378,0.325,0.13,0.15,0.0,9.05,0.0,0.0,4.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,533.0,511.9935,504.87975,544.3926000000001,550.7128999671324,0,550.7128999671324,517.4813158698795
341,379,0.24,0.27,0.37,13.32,0.32,0.06,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,553.0,306.6379999999999,662.0143199999999,553.216,522.6735856674735,0,522.6735856674735,576.3452151070717
342,380,1.06,0.97,0.28,1.05,0.13,0.03,0.0,0.0,0.0,1.15,0.25,0.0,0.0,0.0,0.0,0.0,0.0,518.0,356.47999999999996,413.3040999999999,403.95599999999996,518.1973779207833,0,518.1973779207833,519.6950247066491
343,382,0.33,1.54,0.23,0.15,0.18,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,599.8333333333334,605.9730000000001,618.3417999999999,609.6799999999998,602.860049738528,0,602.860049738528,610.655078152921
344,383,0.44,4.87,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,460.9277778,467.312,474.631,477.829,572.0131743139057,0,572.0131743139057,567.6419155514842
345,384,0.15,0.75,0.25,0.95,1.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,703.0,646.17,694.1507499999999,659.7099999999999,670.980557428145,0,670.980557428145,676.8046445259012
347,386,0.38,0.84,0.34,0.73,1.46,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,591.0,569.9540000000001,584.48576,588.9970000000002,590.2310745402164,0,590.2310745402164,590.0759827583055
348,387,0.05,1.82,0.39,0.0,0.0,0.0,0.06,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.011,0.018,0.012,647.0,691.28,756.5360000000001,687.7230000000001,649.5868120574368,0,649.5868120574368,648.0173712570052
350,389,0.33,1.48,0.18,0.16,0.26,0.27,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,613.0,604.47,616.2424199999998,609.77,611.5052758377119,0,611.5052758377119,613.0342098914319
352,391,0.39,1.41,1.49,0.74,0.0,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024,0.02,562.0,558.8119999999999,588.91349,576.0730000000001,561.8290390007195,0,561.8290390007195,560.9236174001283
353,392,0.096,0.99,0.2,9.25,0.0,0.91,0.19,0.0,0.0,1.92,0.0,0.053,0.0,0.0,0.0526,0.0,0.0,614.0,417.8968,806.942712,636.0233999999999,606.3373248721756,0,606.3373248721756,618.3231731462562
354,393,0.5,0.8,0.32,1.04,0.11,0.24,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,563.0,550.0949999999999,560.6089999999999,571.3530000000001,563.1715626122854,0,563.1715626122854,562.1424421098661
355,394,0.07,1.35,0.29,0.0,0.0,0.0,0.08,0.0,0.036,0.0,0.0,0.0,0.0,0.0,0.006,0.005,0.004,734.0,701.7069999999999,747.74655,697.503,733.7767214086364,0,733.7767214086364,734.7152236896181
356,397,0.24,0.35,0.13,1.75,3.5,0.49,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,608.0,570.405,616.9762000000001,606.482,606.2409446940246,0,606.2409446940246,606.6278843514126
357,398,0.39,0.69,0.29,0.0,3.56,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,515.0,560.2249999999999,559.8010500000001,562.347,516.2511575580425,0,516.2511575580425,533.6599896169735
358,399,0.28,0.0,0.0,3.25,0.0,0.0,0.25,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,652.0,493.1239999999999,662.5568,717.147,697.2489016315042,0,697.2489016315042,638.09600253769
359,400,0.4,1.38,1.5,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,591.0,573.886,591.602,581.1020000000001,590.9752935042276,0,590.9752935042276,589.9302272752659
360,401,0.48,0.8,0.25,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,593.0,587.7330000000001,587.7808,591.471,571.6389380705402,0,571.6389380705402,571.3521708567819
361,402,0.38,0.82,0.32,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,590.0,617.9599999999999,619.5953999999999,620.104,594.6094057453442,0,594.6094057453442,593.450575808804
362,403,0.4,0.81,1.48,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024,0.019,601.0,601.747,615.3139999999999,596.962,601.7655826643368,0,601.7655826643368,601.9219901913006
363,404,0.39,0.75,0.26,0.94,0.19,0.03,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.01,0.008,0.003,660.0,591.0379999999999,606.3937900000001,605.645,659.8278383957675,0,659.8278383957675,659.313288891934
364,405,0.45,1.04,0.35,1.22,0.05,0.05,0.13,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,564.0,555.712,571.6480999999999,577.755,564.8504480735824,0,564.8504480735824,564.8475595295947
365,407,0.55,0.33,0.31,4.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,485.9277778,455.277,486.41544999999996,542.148,503.2757737598382,0,503.2757737598382,513.0033425665603
366,408,0.16,0.5,0.31,1.95,2.02,0.03,0.01,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,721.0,613.0099999999999,686.241,645.174,722.5239167373384,0,722.5239167373384,721.7730666670964
367,409,0.115,0.0,0.0,0.0,19.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,438.8,401.79650000000004,398.093825,397.56700000000006,458.96581203429344,0,458.96581203429344,445.6551421445132
368,410,0.55,0.87,1.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,545.75,549.58,567.42975,545.918,543.1591897134633,0,543.1591897134633,549.4943182955824
369,411,0.99,0.56,0.29,0.32,1.61,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,413.0,397.64799999999997,463.1424199999999,414.40700000000004,420.24292525192214,0,420.24292525192214,413.0780153510103
370,412,0.73,3.76,1.39,1.06,0.0,0.25,0.0,1.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,367.9789999999999,335.06221999999997,407.92280000000005,378.7162953116114,0,378.7162953116114,364.09563240033356
371,413,0.4,1.69,0.8,0.32,0.19,0.12,0.12,0.0,0.026,0.0,0.23,0.0,0.027,5e-05,0.0122,0.0,0.0,551.0,566.8119999999999,582.1321999999999,571.5330000000001,597.1146967273422,0,597.1146967273422,582.2379492681075
372,414,0.4,0.48,0.15,0.15,1.75,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,591.0,591.5509999999998,591.1859999999999,596.5120000000002,592.0183638757775,0,592.0183638757775,592.2543826790769
373,415,0.35,0.8,0.38,0.35,0.0,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,630.0,614.9559999999999,625.2865,626.4090000000001,631.64615696769,0,631.64615696769,631.6063532119722
374,416,0.35,0.86,1.55,1.5,0.23,0.58,0.07,0.0,0.039,0.0,0.0,0.0,0.0,0.0,0.022,0.0,0.0,595.0,563.3829999999998,609.2740000000001,593.7230000000001,595.2345470273793,0,595.2345470273793,595.9077906375519
375,417,0.101,1.02,0.17,9.12,1.92,1.0,0.19,0.0,0.0,0.0,0.0,0.047,0.0,0.0,0.0494,0.0,0.0,580.0,407.5102999999999,766.8289749999999,589.3204000000001,580.8734491894553,0,580.8734491894553,593.2944491935963
376,418,0.06,2.0,0.37,0.0,0.0,0.0,0.0,0.0,0.029,0.0,0.0,0.0,0.0,0.0,0.009,0.0,0.0,721.0,682.341,750.1712,679.479,717.8375477162361,0,717.8375477162361,718.4291061621923
377,419,0.42,0.68,0.16,0.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,605.1861111000001,588.762,600.2938400000002,605.703,596.0006542702878,0,596.0006542702878,594.7664597484786
379,421,0.004,0.03,3.707270101,0.0,21.66586423,0.0,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,347.0388889,366.81356923789997,417.179786513,348.6628373174999,415.7396051494497,0,415.7396051494497,401.82068110605996
380,422,0.46,0.35,0.3,0.0,4.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,530.3722222,530.7219999999999,529.5487,529.766,521.5225532402928,0,521.5225532402928,525.9475793871201
382,424,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,550.74,540.8589999999999,570.0993,543.302,539.0039630891962,0,539.0039630891962,537.3873993425282
383,425,0.33,1.49,0.25,0.08,0.11,0.04,0.24,0.0,0.002,0.0,0.27,0.0,0.002,0.0,0.0,0.0,0.0,594.0,610.6419999999999,621.31111,609.6299999999999,620.1805402092881,0,620.1805402092881,599.2680067197223
384,428,0.61,3.29,1.29,0.92,0.0,0.22,0.0,0.93,0.02,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,464.0,426.9689999999999,419.84522999999996,458.1814000000001,491.83527751444376,0,491.83527751444376,483.42877020172153
385,429,0.15,0.38,0.2,1.16,4.33,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,635.0,603.2249999999999,648.8525999999999,622.488,626.29392946546,0,626.29392946546,624.6975832020469
386,430,0.36,0.65,0.25,1.05,1.05,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,614.0,584.451,603.8243999999999,605.5020000000001,606.0798326867467,0,606.0798326867467,611.0174094265328
388,432,0.52,0.7,0.29,1.09,1.72,0.43,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,538.0,517.038,527.1221199999999,544.0020000000001,535.7281326603372,0,535.7281326603372,535.7676267735516
390,435,0.37,0.85,0.25,1.15,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,614.0,589.601,611.34675,612.8480000000001,609.470632884735,0,609.470632884735,610.6671406944263
391,436,0.41,1.44,1.51,0.75,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,557.0,556.529,584.0520999999999,567.5240000000001,556.9186514446554,0,556.9186514446554,558.0889710082467
392,437,0.18,0.75,0.25,1.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,683.0,657.274,701.9203,674.7370000000001,685.1843430934118,0,685.1843430934118,689.6066680345107
394,439,0.4,1.42,1.51,0.76,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,564.0,557.3089999999999,586.4376,571.6730000000001,563.2552706120618,0,563.2552706120618,565.0732796164624
395,440,0.6,0.85,0.25,0.5,0.55,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,514.0,525.6450000000001,531.0299999999999,539.9050000000001,520.5816756795695,0,520.5816756795695,509.9810661831859
396,441,0.54,0.53,0.36,1.02,3.14,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,523.0,494.81899999999996,505.11382,518.9720000000001,530.538548406462,0,530.538548406462,517.4191462997755
397,442,0.55,0.34,0.94,1.27,0.12,0.05,0.18,0.0,0.0,2.1,0.0,0.0,0.0,0.0,0.0,0.015,0.012,565.5,514.934,557.6003999999999,576.101,565.581463669905,0,565.581463669905,564.8234034352716
398,443,0.37,0.8,1.47,0.0,0.0,0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,605.0,603.145,618.5783,608.3389999999999,606.2924090731382,0,606.2924090731382,605.0711157233906
400,445,0.4,0.84,1.5,0.74,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024,0.019,595.0,577.29,603.2664,589.7440000000001,596.295406677475,0,596.295406677475,595.9762796320638
401,446,0.36,0.49,0.25,1.54,0.21,0.03,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.021,0.02,613.0,592.2940000000001,619.36916,617.717,614.7466171372437,0,614.7466171372437,614.8296588793454
402,447,0.355,1.56,0.33,0.24,0.05,0.02,0.004,0.0,0.029,0.0,0.095,0.0,0.026,0.0,0.0093,0.0,0.0,605.0,596.2814999999999,608.891205,600.2645000000001,644.5497223509187,0,644.5497223509187,635.1913163613513
404,449,0.004,0.0,0.0,0.0,29.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.15,271.45320000000004,278.031472,266.64959999999996,271.31354337659417,0,271.31354337659417,320.08059597816384
405,450,0.38,1.08,0.7,0.4,0.34,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,597.9388889,589.951,603.935,597.0740000000001,599.1397222045855,0,599.1397222045855,603.527940825017
406,451,1.2,0.52,0.28,0.07,5.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310.0,285.807,420.00059999999996,297.5570000000001,410.8022574237224,0,410.8022574237224,413.34051947402855
407,454,0.46,0.5,0.24,1.52,3.96,0.07,0.0,0.0,0.0,0.59,0.2,0.0,0.0,0.0,0.0,0.0,0.0,508.0,491.34,514.1872799999999,529.234,507.50292367629055,0,507.50292367629055,504.50722972277873
408,455,0.36,1.46,0.42,0.75,0.0,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,575.25,598.2008000000001,599.6949999999999,594.9349374063002,0,594.9349374063002,598.8202900762843
409,457,0.3,0.51,0.32,0.07,3.03,0.0,0.0,0.0,0.032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,613.0,603.958,606.2639,602.253,606.2898448579444,0,606.2898448579444,611.4149739241489
410,458,0.15,0.67,0.48,1.2,0.25,0.0,0.31,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.044,0.024,708.0,659.371,716.50375,674.4840000000002,707.5744439082845,0,707.5744439082845,709.0941292151994
411,459,0.55,0.75,1.5,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,551.0,536.78,556.6227500000001,546.8399999999999,549.458515825332,0,549.458515825332,546.0972055271391
412,460,0.64,0.73,0.82,1.26,0.05,0.0,0.16,0.0,0.006,0.0,0.03,0.0,0.0,0.0,0.012,0.0,0.0,469.0,500.088,514.2507599999999,523.925,470.0587306903367,0,470.0587306903367,472.50502873646315
414,462,0.21,1.52,0.4,0.0,0.07,0.0,0.13,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.019,0.022,0.023,690.5,649.318,675.5839,647.1800000000001,689.4990775037446,0,689.4990775037446,691.2279842946429
415,463,0.24,0.71,0.27,0.49,0.0,0.45,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,674.0,650.785,671.87084,662.6540000000001,682.2788242333639,0,682.2788242333639,676.3773836138505
417,465,0.33,0.62,0.21,0.1,0.89,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,638.25,626.364,628.4155999999998,626.7810000000001,636.100369419533,0,636.100369419533,633.4329800650004
418,466,0.42,0.85,0.25,1.15,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,590.0,573.766,590.3425000000001,597.7180000000001,611.3928415874896,0,611.3928415874896,603.9864670914612
420,468,0.37,0.68,0.21,0.0,3.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,577.2972222000001,572.949,571.6288999999999,571.7790000000001,579.600397657137,0,579.600397657137,584.1315067013652
421,469,0.23,0.53,0.3,1.55,0.3,0.29,0.21,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.018,0.0,621.0,626.911,675.0490499999999,654.7120000000001,620.2728945571225,0,620.2728945571225,622.5311144499348
422,470,0.33,0.57,0.23,0.85,3.26,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,558.91,566.934,583.68135,582.0999999999999,586.8946070305669,0,586.8946070305669,591.9156184647235
423,471,0.6,0.75,1.9,0.25,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,533.0,525.685,550.055,530.6350000000001,527.9158068902904,0,527.9158068902904,538.3445635244993
424,473,0.85,1.18,0.26,0.5,0.0,0.0,0.0,0.0,0.0,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,477.0,441.891,463.93799999999993,465.918,455.42706499081106,0,455.42706499081106,457.6939010821814
425,474,0.39,0.8,1.48,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,609.0,602.583,616.7077,600.87,609.0235041647293,0,609.0235041647293,608.8877639823232
426,475,0.56,0.67,0.31,0.76,1.53,0.24,0.14,0.0,0.01,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,508.0,519.6029999999998,527.1868399999998,537.4830000000001,510.24110352960736,0,510.24110352960736,508.8176237190706
427,476,0.24,0.0,0.0,3.0,11.0,1.0,0.0,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,468.0,417.8419999999999,489.8571999999999,600.506,558.9081685078115,0,558.9081685078115,577.5896869753483
428,477,0.41,0.58,0.28,1.39,0.15,0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,573.0,570.4200000000001,591.6547600000001,605.241,614.0810446176948,0,614.0810446176948,600.0196539023212
429,479,0.24,0.0,0.0,0.02,4.96,4.03,0.0,15.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,647.0,567.9209999999998,566.79572,755.9282000000001,664.3984978575513,0,664.3984978575513,673.762313730004
430,480,0.73,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,477.0,274.2589999999999,432.70730000000015,611.302,467.308548110678,0,467.308548110678,476.8644194949056
431,481,0.6,0.52,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,573.0,481.21399999999994,484.6619999999999,483.72800000000007,545.7632131245706,0,545.7632131245706,550.4972066162187
432,482,0.2,0.5,0.25,3.1,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,695.0,597.3329999999999,695.7279999999998,658.4130000000001,676.8103438482211,0,676.8103438482211,675.0826536167324
433,483,0.33,0.89,0.24,1.13,0.15,1.19,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,608.0,588.11,616.1937100000001,623.9369999999999,607.5305361859974,0,607.5305361859974,606.8896225039078
434,484,1.0,0.34,0.022,1.44,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,402.5944444,397.9068,443.1810000000001,432.25100000000003,434.4412688492951,0,434.4412688492951,427.97763850694633
435,485,0.35,0.83,0.39,0.35,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.02,635.0,616.8429999999998,627.1007500000001,624.6980000000001,631.9112852046109,0,631.9112852046109,631.172140784365
436,486,0.26,1.48,0.28,0.02,0.08,0.01,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,673.0,635.3129999999999,653.02748,633.1120000000001,635.0789870833368,0,635.0789870833368,640.4848340377799
437,487,0.19,1.55,0.32,0.0,0.57,0.0,0.13,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.017,0.0,0.0,712.0,647.1909999999999,676.22395,645.1740000000001,712.7583547547018,0,712.7583547547018,706.69515048886
438,488,0.41,1.44,1.51,0.75,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024,0.02,557.0,556.529,584.0520999999999,567.5240000000001,558.8406178646889,0,558.8406178646889,556.7813232810521
439,489,0.46,0.34,0.27,0.0,0.0,0.0,0.0,0.0,0.0,3.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,588.7055556,574.087,611.5046,635.993,594.0661259294436,0,594.0661259294436,592.7790287764042
440,490,0.63,0.87,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,547.01944445,541.116,546.6981499999999,543.75,536.4049824874435,0,536.4049824874435,554.990460564086
441,491,0.29,0.85,0.22,0.97,0.73,0.65,0.26,0.021,0.0,0.011,0.0,0.017,0.0,0.0,0.012,0.0,0.0,601.0,602.9659,631.42707,628.3165799999998,594.9300576949672,0,594.9300576949672,608.2962429491807
442,492,0.12,0.83,0.3,0.53,1.11,0.49,0.03,0.0,0.031,0.0,0.3,0.0,0.0,0.0,0.0,0.004,0.005,699.0,664.3669999999998,707.0300400000001,672.783,699.0392186583475,0,699.0392186583475,699.9399596880482
443,493,0.79,0.5,0.023,0.22,1.76,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,458.15,466.89070000000004,494.08932,478.8904999999999,468.7980095069549,0,468.7980095069549,462.61418573812335
445,495,0.41,1.41,1.51,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,597.0,575.492,591.9985499999999,575.7410000000001,594.516532257237,0,594.516532257237,594.7207277966583
446,496,0.73,0.73,1.62,0.1,0.12,0.0,0.01,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,488.0,493.784,526.53415,492.44500000000005,487.7784912034411,0,487.7784912034411,480.79708054671056
447,497,0.62,0.82,2.01,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,523.0,524.1329999999998,549.4703599999999,521.728,515.4942740667792,0,515.4942740667792,515.7000526777845
448,500,0.36,1.47,0.41,0.76,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023,0.024,596.0,577.858,600.5100399999999,598.773,595.5805266670104,0,595.5805266670104,596.360432283706
449,501,0.41,0.85,0.25,0.5,0.55,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,594.0,585.2630000000001,592.9519500000001,597.519,593.8122032055583,0,593.8122032055583,592.390610213254
450,502,0.52,0.85,0.21,0.5,0.53,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,555.3722222,551.0930000000001,555.1607999999999,565.1690000000001,527.834585610384,0,527.834585610384,553.0666467289684
451,503,0.56,0.3,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,593.0,576.3829999999999,587.5092,574.6890000000001,588.8988021965226,0,588.8988021965226,586.0919227435703
452,504,1.08,0.53,0.25,1.46,0.33,0.06,0.025,0.0,0.0,0.11,0.09,0.0,0.0,0.0,0.0,0.0,0.0,478.0,361.6039999999999,417.25352,399.018,453.83708408861634,0,453.83708408861634,468.6385371733968
453,505,0.14,0.57,0.2,1.47,1.46,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,670.0,638.3770000000001,701.27142,664.7990000000001,681.7475254721426,0,681.7475254721426,684.9377513134664
454,506,0.45,1.34,1.45,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022,0.013,560.0,568.818,582.1279999999999,566.001,560.7080450288994,0,560.7080450288994,563.60075818765
455,507,0.54,0.23,1.27,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,583.0,577.886,593.8516999999999,574.898,584.298787045492,0,584.298787045492,572.9285849822478
456,508,0.37,0.85,0.37,0.74,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,619.0,601.6650000000001,617.16167,614.325,620.4708685075618,0,620.4708685075618,621.7284521093659
457,509,0.38,0.82,0.34,0.75,1.46,0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022,0.022,585.0,567.1779999999999,582.3454,590.0550000000001,584.4658771593571,0,584.4658771593571,587.1266152567662
458,510,0.41,1.42,1.42,0.78,1.37,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026,0.021,522.0,534.259,560.9139200000001,546.48,521.9124033385491,0,521.9124033385491,519.3831503914547
459,511,0.004,0.03,0.075,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,308.15,301.3517,310.132892,296.18409999999994,386.9132834732438,0,386.9132834732438,345.3691099877989
460,512,0.06,1.46,0.14,0.2,0.02,0.25,0.03,0.0,0.035,0.0,0.01,0.0,0.0,0.0,0.0,0.018,0.003,725.0,694.2070000000002,751.9636,697.7130000000001,724.8455259174241,0,724.8455259174241,725.9328881394372
462,514,0.4,0.62,0.26,0.23,3.45,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,554.0,556.7189999999999,558.9138,561.3410000000001,553.4886471547154,0,553.4886471547154,553.3528391587296
463,515,0.86,0.6,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,488.0,477.48799999999994,519.1692,482.70400000000006,503.3546833813272,0,503.3546833813272,488.9411032300414
464,516,0.43,0.74,0.0,0.92,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,594.0,585.6509999999998,594.7894399999999,603.2500000000001,604.6893193401362,0,604.6893193401362,611.588354477168
465,517,0.008,0.094,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.596,0.0,0.0,601.15,418.88620000000003,962.2261199999999,647.6528000000001,625.5677630815537,0,625.5677630815537,629.9071971844141
467,519,0.46,0.5,0.24,1.52,3.96,0.07,0.0,0.0,0.0,0.59,0.2,0.0,0.0,0.0,0.0,0.012,0.007,508.0,491.34,514.1872799999999,529.234,507.6109293274991,0,507.6109293274991,505.15097660151224
468,520,0.38,0.82,0.34,0.75,1.46,0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,585.0,567.1779999999999,582.3454,590.0550000000001,584.0927473093351,0,584.0927473093351,584.2466505251452
