图号,钢号,C,Si,Mn,Cr,Ni,Mo,W,V,S,P,Cu,Al,Ti,B,Co,Nb,N,Ms/°C,Ms (K)
 IV-1-614,1Cr13,0.11,0.31,0.62,13.24,0.15,0.02,0,0,0,0,0,0,0,0,0,0,0,335,608.15
 IV-1-615,1Cr13,0.11,0.37,0.44,12.18,0.16,0.02,0,0,0,0,0,0,0,0,0,0,0,350,623.15
 IV-1-616,1Cr13,0.12,0,0,12.3,0,0,0,0,0,0,0,0,0,0,0,0,0,335,608.15
 IV-1-617,1Cr13,0.13,0.52,0.33,12.5,0.12,0,0,0,0,0,0,0,0,0,0,0,0,300,573.15
 IV-1-618,1Cr13,0.13,0.52,0.33,12.5,0.12,0,0,0,0,0,0,0,0,0,0,0,0,295,568.15
 IV-1-619,2Cr13,0.24,0.37,0.27,13.32,0.32,0.06,0,0,0,0,0,0,0,0,0,0,0,320,593.15
 IV-1-620,3Cr13,0.25,0.37,0.29,13.4,0.13,0,0,0,0,0,0,0,0,0,0,0,0,240,513.15
 IV-1-621,3Cr13,0.25,0.37,0.29,13.4,0.13,0,0,0,0,0,0,0,0,0,0,0,0,190,463.15
 IV-1-622,3Cr13Si,0.29,0.85,0.4,13.32,0.18,0.08,0,0,0,0,0,0,0,0,0,0,0,270,543.15
 IV-1-623,4Cr13,0.35,0,0.45,13,0,0.1,0,0,0,0,0,0,0,0,0,0,0,300,573.15
 IV-1-624,4Cr13,0.44,0.3,0.2,13.12,0.31,0.01,0,0.02,0,0,0.99,0,0,0,0,0,0,270,543.15
 IV-1-625,4Cr13,0.44,0.3,0.2,13.12,0.31,0.01,0,0.02,0,0,0.09,0,0,0,0,0,0,145,418.15
 IV-1-626,4Cr13,0.45,0.32,0.4,13.8,0.12,0,0,0,0,0,0,0,0,0,0,0,0,250,523.15
 IV-1-627,Cr17,0.09,0.33,0.4,17.2,0.34,0,0,0,0,0,0,0,0,0,0,0,0.09,160,433.15
 IV-1-631,Cr13Ni2,0.1,0.8,0.8,12.05,1.86,0,0,0,0.02,0.03,0,0,0,0,0,0,0,270,543.15
 IV-1-632,Cr20N,0.17,0.56,0.56,20.96,0.35,0,0,0,0,0,0,0,0,0,0,0,0.12,130,403.15
 IV-1-634,1Cr17Ni2,0.16,0,0,16.42,2.44,0,0,0,0,0,0,0,0,0,0,0,0,150,423.15
 IV-1-635,1Cr12Ni2WMoV,0.12,0.24,0.34,11.3,1.77,0.43,1.6,0.27,0,0,0,0,0,0,0,0,0,270,543.15
 IV-1-636,1Cr12Ni2WMoV,0.12,0.24,0.34,11.3,1.77,0.43,1.6,0.27,0,0,0,0,0,0,0,0,0,325,598.15
 IV-1-637,2Cr12NiMoWV,0.22,0.35,0.52,12,0.59,1.35,0.31,0.31,0.014,0.011,0,0,0,0,0,0,0,270,543.15
 IV-1-638,Cr5Mo,0.11,0.44,0.38,5.46,0,0.42,0,0,0.007,0.017,0,0,0,0,0,0,0,430,703.15
 IV-1-639,Cr7Mo,0.15,0.5,0.3,7,0,0.5,0,0,0,0,0,0,0,0,0,0,0,405,678.15
 IV-1-642,Mn13,1.18,0.26,12.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-200,73.15
