图号,钢号,C,Si,Mn,Cr,Ni,Mo,W,V,S,P,Cu,Al,Ti,B,Co,Nb,N,Ms/°C,Ms (K)
 IV-1-452,T8,0.76,0.22,0.29,0.11,0.07,0.02,0,0.02,0,0,0.11,0,0,0,0,0,0,245,518.15
 IV-1-453,T8,0.76,0.22,0.29,0.11,0.07,0.02,0,0,0,0,0.11,0,0,0,0,0,0,210,483.15
 IV-1-454,T8,0.78,0.16,0.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235,508.15
 IV-1-455,T9,0.89,0.15,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,503.15
 IV-1-456,T9,0.93,0.11,0.31,0,0.2,0,0,0,0,0,0.62,0,0,0,0,0,0,190,463.15
 IV-1-457,T10,0.93,0,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,483.15
 IV-1-458,T10,1.03,0.17,0.22,0.07,0.1,0.01,0,0,0,0,0.14,0,0,0,0,0,0,175,448.15
 IV-1-459,T10,1.03,0.17,0.22,0.07,0.1,0.01,0,0,0,0,0.14,0,0,0,0,0,0,160,433.15
 IV-1-460,T10Mn,0.96,0.32,0.55,0.11,0.08,0.01,0,0,0,0,0.14,0,0,0,0,0,0,190,463.15
 IV-1-461,T11,1.1,0.5,0.3,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,170,443.15
 IV-1-462,T11,1.13,,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,458.15
 IV-1-463,T11,1.14,0.16,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,473.15
 IV-1-464,T12,1.17,0.18,0.36,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0,200,473.15
 IV-1-465,T12,1.29,0.27,0.2,0.04,0.09,0.01,0,0,0,0,0.08,0,0,0,0,0,0,190,463.15
 IV-1-466,T12,1.29,0.27,0.2,0.04,0.09,0,0,0,0,0,0,0,0,0,0,0,0,12,285.15
 IV-1-467,T13,1.26,0.03,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,433.15
 IV-1-468,T16,1.6,0.27,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,363.15
 IV-1-469,T10Mn2,0.98,0.08,1.84,0,0,0,0,0,0.011,0.023,0,0,0,0,0,0,0,125,398.15
 IV-1-470,7Cr3,0.68,0.5,0,3.49,0,0,0,0,0,0,0,0,0,0,0,0,0,220,493.15
 IV-1-471,1Mo3,0.1,0.26,0.5,0,0,2.95,0,0,0,0,0,0,0,0,0,0,0,400,673.15
 IV-1-472,2Mo3,0.24,0.3,0.68,0,0,2.95,0,0,0,0,0,0,0,0,0,0,0,370,643.15
 IV-1-473,2Mo3Ni3,0.22,0.3,0.5,0,2.8,2.95,0,0,0,0,0,0,0,0,0,0,0,330,603.15
 IV-1-474,4Cr2W3,0.4,0.26,0.34,2.85,0.12,0.16,3.39,0.26,0,0,0,0,0,0,0,0,0,330,603.15
 IV-1-475,5CrW2V,0.45,0.2,0.34,1.25,0,0,2.2,0.36,0,0,0,0,0,0,0,0,0,300,573.15
 IV-1-476,3Cr2W4V,0.28,0.16,0.39,2.35,0.06,0.06,4.1,0.53,0,0,0,0,0,0,0,0,0,310,583.15
 IV-1-478,3Cr2W8V,0.28,0.11,0.36,2.57,0,0,8.88,0.36,0,0,0,0,0,0,0,0,0,420,693.15
 IV-1-479,3Cr2W8V,0.3,0.43,0.4,2.3,0,0,8.78,0.34,0,0,0,0,0,0,0,0,0,380,653.15
 IV-1-480,3Cr2W8V,0.34,0.31,0.38,2.86,0,0,8.12,0.17,0,0,0,0,0,0,0,0,0,330,603.15
 IV-1-481,3Cr2W8V,0.38,0.27,0.29,2.2,0,0,7.93,0.4,0,0,0,0,0,0,0,0,0,345,618.15
 IV-1-482,3Cr2W12V,0.4,0.3,0.3,2,0,0,11.5,0.35,0,0,0,0,0,0,0,0,0,370,643.15
 IV-1-483,4CrW2Si,0.4,0.72,0.27,1.2,0.17,0,1.85,0,0,0,0,0,0,0,0,0,0,315,588.15
 IV-1-484,4CrW2Si,0.44,0.79,0.6,1.23,0,0,1.94,0,0,0,0,0,0,0,0,0,0,335,608.15
 IV-1-485,5CrW2Si,0.52,0.71,0.3,1.76,0,0,2.43,0,0,0,0,0,0,0,0,0,0,325,598.15
