图号,钢号,C,Si,Mn,P,S,Al,Cr,Cu,N,Ni,W,V,Ti,B,Co,Mo,O,Sn,Nb,Ms/°C,Ms (K)
529,4Cr5W2VSi,0.37,1,0.4,0,0,0,5,0,0,0,2.1,0.9,0,0,0,0,0,0,0,275,548.15
530,4CrW2Si,0.4,0.72,0.27,0,0,0,1.2,0,0,0.17,1.85,0,0,0,0,0,0,0,0,315,588.15
532,4CrW2Si,0.44,0.79,0.6,0,0,0,1.23,0,0,0,1.94,0,0,0,0,0,0,0,0,335,608.15
533,5CrW2Si,0.52,0.8,0.33,0,0,0,1.17,0,0,0.16,2.25,0,0,0,0,0,0,0,0,295,568.15
535,5W2CrSiV,0.55,0.94,0.34,0.015,0.012,0,1.27,0,0,0.12,2.1,0.18,0,0,0,0.05,0,0,0,305,578.15
537,5CrNiMo,0.54,0.28,0,0,0,0,0.77,0,0,1.75,0,0.06,0,0,0,0.34,0,0,0,240,513.15
538,5CrNiMo,0.55,0.34,0,0,0,0,1.03,0,0,1.71,0,0.06,0,0,0,0.52,0,0,0,240,513.15
539,5CrNiW,0.56,0.23,0.59,0,0,0,0.6,0,0,1.6,0.78,0,0,0,0,0,0,0,0,260,533.15
541,5CrNiW,0.59,0.38,0.45,0,0,0,1.28,0,0,1.1,0.5,0,0,0,0,0,0,0,0,205,478.15
542,5CrNiWSi,0.57,0.9,0.46,0,0,0,1.34,0,0,1.16,0.47,0,0,0,0,0,0,0,0,250,523.15
543,5CrNi2MnMoV,0.52,0.29,0.7,0.01,0.01,0,1.09,0,0,1.72,0,0.14,0,0,0,0.43,0,0,0,280,553.15
545,5CrMnMo,0.53,0.38,1.53,0,0,0,0.76,0,0,0.3,0,0,0,0,0,0.17,0,0,0,250,523.15
546,5CrMnMo,0.53,0.3,0.66,0.018,0.011,0.049,0.56,0.18,0.02,0.15,0,0,0,0.0004,0,0.44,0,0,0,320,593.15
547,5CrMnMo,0.57,0.3,0.66,0.018,0.011,0.043,0.56,0.18,0.02,0.15,0,0,0,0.0004,0,0.44,0,0,0,310,583.15
548,5CrMnMo,0.59,0.41,1.42,0,0,0,0.85,0,0,0.1,0,0,0,0,0,0.16,0,0,0,225,498.15
549,5SiMnMoV,0.54,1.76,0.65,0.013,0.008,0,0.32,0,0,0.06,0,0.27,0,0,0,0.39,0,0,0,280,553.15
550,5W3CrV,0.5,0,0,0,0,0,1.25,0,0,0,2.75,0.25,0,0,0,0,0,0,0,310,583.15
551,5Cr4W5Mo2V,0.5,0.275,0.4,0,0,0,4,0,0,0,5,1,0,0,0,2,0,0,0,250,523.15
552,6CrW2Si,0.58,0.55,0.32,0,0,0,1.27,0,0,0.23,2.25,0,0,0,0,0,0,0,0,270,543.15
554,6CrNiMo,0.62,0.67,0.64,0,0,0,0.6,0,0,1.79,0,0,0,0,0,0.32,0,0,0,230,503.15
555,6CrNiMo,0.64,0.28,0.93,0,0,0,1.01,0,0,1.64,0,0,0,0,0,0.24,0,0,0,230,503.15
556,6Cr2Ni3,0.6,0.24,0.37,0,0,0,2.14,0,0,3.22,0,0,0,0,0,0.07,0,0,0,190,463.15
557,6W6Mo5Cr4V,0.59,0.16,0.15,0,0,0,4.08,0,0,0,6.26,0.94,0,0,0,5.1,0,0,0,240,513.15
558,6Cr4Mo3Ni2WV,0.56,0.2,0.39,0,0,0,4.04,0,0,2.16,1.2,1.05,0,0,0,3.02,0,0,0,180,453.15
559,7MnSi2,0.73,1.62,0.73,0.019,0.012,0,0.1,0.19,0,0.12,0,0.01,0,0,0,0,0,0,0,220,493.15
561,7CrMn3WV,0.73,0,3.1,0,0,0,1.4,0,0,0,0.6,0.15,0,0,0,0,0,0,0,160,433.15
562,7Cr4W3Mo2VNb,0.66,0.19,0.15,0,0,0,4.8,0,0,0,3.02,1.1,0,0,0,1.87,0,0,0.26,220,493.15
563,7W7Cr4MoV,0.63,0.08,0.23,0,0,0,4.68,0,0,0,6.76,0.51,0,0,0,0.39,0,0,0,184,457.15
564,8V,0.87,0,0.3,0,0,0,0,0,0,0,0,0.27,0,0,0,0,0,0,0,225,498.15
565,8CrV,0.83,0.26,0.4,0,0,0,0.63,0,0,0.25,0,0.17,0,0,0,0,0,0,0,215,488.15
566,8CrV,0.86,0.34,0.36,0,0,0,1.62,0,0,0.58,0,0.17,0,0,0,0,0,0,0,215,488.15
567,8CrV,0.87,0,0,0,0,0,1.63,0,0,0,0,0.18,0,0,0,0,0,0,0,185,458.15
568,8Mn2B,0.8,0,2.04,0,0,0,0,0,0,0,0,0,0,0.0015,0,0,0,0,0,160,433.15
569,9Cr2,0.89,0.32,0.3,0,0,0,2,0,0,0.13,0,0,0,0,0,0,0,0,0,270,543.15
570,9Cr2,0.97,0.32,0.28,0,0,0,1.85,0,0,0,0,0,0,0,0,0,0,0,0,150,423.15
